推,噓,分數,作者,標題,時間
5,0,5,Neverfor (八卦蟑螂),[問卦] 趁現在蹭一波女權有加分嗎,Sat Feb  6 01:44:19 2021
1,3,-2,akumakei (他們想要強奸我),Re,Sat Feb  6 00:56:22 2021
13,8,5,ReiKuromiya (ReiKuromiya),[問卦] 日本女主播神秘抖動,Sat Feb  6 00:04:17 2021
2,1,1,quan0120 (唯一信仰),[問卦] 我可以代表新生代上clubhouse嗎?,Sat Feb  6 02:29:57 2021
1,1,0,minifat (..........),[問卦] 我該怎操作我的國民情人,Sat Feb  6 00:52:12 2021
5,2,3,strike519 (噓我者 宅友也),Re,Sat Feb  6 09:10:30 2021
4,6,-2,xinyi101 (小愛茶),[問卦] 這塊雞排臭掉了,Fri Feb  5 23:20:14 2021
13,5,8,WangCM (待業中),[問卦] 覺得被雞排妹性騷擾了怎麼辦,Sat Feb  6 07:50:34 2021
4,10,-6,Tattoo (沒有什麼是永遠不變的),Re,Fri Feb  5 23:22:23 2021
3,6,-3,Huangw (wei),Re,Sat Feb  6 00:28:25 2021
17,8,9,deepdish (Keep The Faith),[新聞] 馬英九拍賀歲片上街辦年貨　尷尬！久沒搭,Fri Feb  5 23:30:53 2021
3,2,1,lesnaree2 ( ),[問卦] 性教育有重視兩性平等嗎,Sat Feb  6 00:33:42 2021
3,2,1,cwh0105 (Ex咖哩棒),[問卦] 台灣人是不是個性奴啊?,Sat Feb  6 01:06:54 2021
5,0,5,chadmu (查德姆),[問卦] 全身癌細胞還可以算是同一個人嗎,Fri Feb  5 22:34:46 2021
1,0,1,masterkobe (球球),Re,Fri Feb  5 23:17:13 2021
380,46,334,ntlutw (Louis888),[新聞] 雞排妹遇性騷擾先開記者會？婦團憾：錯誤,Fri Feb  5 23:39:05 2021
29,16,13,aurior (ari),Re,Sat Feb  6 00:28:26 2021
23,3,20,snakei14702 (sun抓奶廷已經gg了怎麼?:),[問卦] 雞排妹是不是有點作秀過頭了？,Sat Feb  6 01:28:04 2021
1,1,0,AWNESS (祈揚ESS),Re,Sat Feb  6 07:05:25 2021
8,0,8,ntlutw (Louis888),[問卦] 某女有創傷症候群嗎 ?,Sat Feb  6 07:09:43 2021
28,0,28,fawangching (Tom),[問卦] 好相處 但沒有企圖心 適合什麼工作？,Sat Feb  6 08:42:56 2021
8,1,7,lpbrother (LP哥(LP = Love & Peace)),[問卦] 鄉民會有幻想朋友嗎？,Sat Feb  6 07:58:28 2021
80,6,74,gogosonny (狗狗桑妮),[問卦] 翁以後是不是只能跟這個拳擊手一樣了?,Sat Feb  6 00:59:04 2021
16,0,16,ytkuang (就是那個光),[新聞] 昔日「燒肉粽事件」？新北男遭墜樓婦人,Sat Feb  6 07:50:37 2021
3,5,-2,ben780413 (V6王),[問卦] 百萬小學堂 容容有男友嗎?,Sat Feb  6 00:06:27 2021
23,2,21,moriyako (何妨吟嘯且徐行),[問卦] 被醜女素懶覺會勃起嗎？,Fri Feb  5 22:43:48 2021
36,7,29,moneybuy (),[問卦] 為啥雞排妹在場翁立友記者會死不開始?,Sat Feb  6 00:33:42 2021
0,3,-3,smreignqrop (Mr.齊),[問卦] 朋友額頭被別人用棒子畫一個疤痕該腫摸,Sat Feb  6 01:12:41 2021
32,2,30,uNFreeman (我愛喵星人~*),[問卦] 為什麼憲哥還沒評論性騷擾事件,Fri Feb  5 22:12:16 2021
2,0,2,hayato24 (樹枝孤鳥),Re,Sat Feb  6 09:15:47 2021
2,3,-1,JUNOCARE (陽光！！),[問卦] 看到肥宅的臉覺得噁心想吐可告他性侵嗎,Sat Feb  6 00:57:44 2021
9,3,6,jrxcombine (浪人中.....),[問卦] 有沒有麥當勞點漢堡會被加蛋的八卦？,Sat Feb  6 07:28:01 2021
6,0,6,z5419 (邱哥),[問卦] 自行車車手的衣著,Sat Feb  6 09:09:39 2021
2,1,1,nonnon (にゃんぱすー),[問卦] 有沒有音樂課的八卦？,Fri Feb  5 23:20:40 2021
0,1,-1,tigotigo (鐵劍-中立理性選民),[問卦] 有沒有歌手鄭家純的八卦？,Sat Feb  6 00:06:10 2021
1,1,0,subway0983 (巴巴),[問卦] 耶！三點了！！,Sat Feb  6 03:22:06 2021
4,3,1,elec1141 (木村拓哉),[問卦] 這輩子想一直聽的演唱會,Fri Feb  5 22:47:48 2021
1,0,1,poonebetty (小肥媽),[問卦] 豆導會如何評論雞排,Sat Feb  6 00:23:52 2021
458,60,398,u35k6 (漫畫),Re,Sat Feb  6 00:49:01 2021
1,2,-1,sillyxsilly (唏哩唏哩),[問卦] 這裡都沒老人了嗎？,Sat Feb  6 02:34:46 2021
178,7,171,funasake (),[問卦] 如果只能推薦一齣日劇，推哪部？,Fri Feb  5 23:51:50 2021
2,3,-1,Sukanku (スカンク),[問卦] 祖國的疝液吹過來了？,Sat Feb  6 00:24:59 2021
21,2,19,garyasdf (MRcan),[問卦] 到底怎樣算性騷擾？,Sat Feb  6 08:07:47 2021
5,0,5,YU0121 (愛玉冰™),Re,Fri Feb  5 23:15:03 2021
3,5,-2,wakaura (wakaura),[問卦] 該怎麼做才能增加睡意?,Fri Feb  5 23:51:59 2021
8,2,6,zerobx (隨意),[問卦] 為啥被性騷擾不敢提告？,Sat Feb  6 01:32:00 2021
1,1,0,newwu (說不定我一生涓滴廢文),Re,Sat Feb  6 02:41:06 2021
6,0,6,shadleheart (雪兜哈特),[問卦] 還有多少鄉民知道傑夫大大？,Sat Feb  6 01:36:52 2021
4,2,2,Xaymaca (夏),[問卦] 中國文化   婚鬧   尾牙   你敢嘴???????,Sat Feb  6 09:01:34 2021
4,1,3,T3T (G.S.M.W),[問卦] 咪兔元年  會改善少子化問題,Sat Feb  6 02:57:26 2021
2,1,1,bodhi (????),Re,Fri Feb  5 22:10:02 2021
2,4,-2,piggy37 (小時),[問卦] 宣布本週是性騷擾週,Fri Feb  5 23:45:13 2021
3,0,3,Ironstick (鋼鐵蛇),[問卦] 最後才知道好朋友其實沒掛掉的八卦？,Sat Feb  6 01:24:48 2021
0,0,0,ncuEE (NCUEE),[問卦] 只有我覺得雞排妹在鋪從政之路嗎？,Sat Feb  6 09:25:37 2021
3,0,3,xxxluke (我手裡拿著小皮鞭),[問卦] 踩到洨就會得菜花？,Sat Feb  6 01:35:31 2021
28,3,25,Bluedicker (藍迪克),[新聞] 初代玉女偶像沈雁在美逝世享年60歲,Fri Feb  5 23:24:00 2021
7,0,7,Emerson158 (紅豆 X 八嘎 X 烏魯賽),"[問卦] 美國黑道,真的會把屍體丟進哈德孫河嗎?",Sat Feb  6 02:38:35 2021
0,0,0,hayate232 (CY),Re,Sat Feb  6 01:27:56 2021
6,0,6,shintrain (戰犯分析師),[問卦] 他偷瞄我 我覺得不舒服,Sat Feb  6 00:29:17 2021
5,2,3,NTUST (國立金城武科技大學),[問卦] 現在是確定翁雞誰是加害者跟被害人了嗎,Fri Feb  5 23:52:47 2021
13,1,12,Sipaloy (便當),Re,Sat Feb  6 00:38:39 2021
86,5,81,cl3bp6 (來自97號世界),[新聞] 樹林女子從11樓墜落！1樓路過男子慘遭重,Fri Feb  5 22:33:12 2021
1,0,1,shonbig (香檳),[問卦] 有台男曾在日本被指控過性騷擾的嗎,Sat Feb  6 03:29:40 2021
0,0,0,tigotigo (鐵劍-中立理性選民),[問卦] 用雞排事件洗板的是哪些可撥仔？,Sat Feb  6 09:28:24 2021
4,1,3,ivorysoap (ivorysoap),[問卦] G排妹事件能寫成一條歌嗎？,Sat Feb  6 01:54:35 2021
